HCR#,,As Of Date,Contract Origin (and Admin Official),,,Contract Destination,,,,,
447,3,3452,JAFFREY,07:30:00 ET,9 min,07:39:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,45.1,1.90?,?,?,1.25,,,,,
448,1,3452,JAFFREY,07:40:00 ET,9 min,07:49:00 ET,24VN,B7,62,12/06/2024 06/30/2026,
448,2,30,MANCHESTER,08:50:00 ET,15 min,09:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,43.1,1.42?,?,?,1.02,,,,,
449,1,30,MANCHESTER,14:30:00 ET,15 min,14:45:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
449,2,3465,TROY,16:14:00 ET,6 min,16:20:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,52.8,1.83?,?,?,1.48,,,,,
450,1,3465,TROY,16:21:00 ET,6 min,16:27:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
450,2,3447,FITZWILLIAM,16:36:00 ET,9 min,16:45:00 ET,,,,,
450,3,3461,RINDGE,16:56:00 ET,9 min,17:05:00 ET,,,,,
450,4,3452,JAFFREY,17:21:00 ET,9 min,17:30:00 ET,,,,,
450,5,30,MANCHESTER,18:50:00 ET,15 min,19:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,61.2,2.73?,?,?,1.93,,,,,
451,1,30,MANCHESTER,14:25:00 ET,15 min,14:40:00 ET,24LG,6X,51,12/06/2024 06/30/2026,
451,2,3458,PETERBOROUGH,15:51:00 ET,9 min,16:00:00 ET,,,,,
451,3,3444,DUBLIN,16:16:00 ET,9 min,16:25:00 ET,,,,,
451,4,3450,HARRISVILLE,16:36:00 ET,9 min,16:45:00 ET,,,,,
451,5,3455,MARLBOROUGH,16:55:00 ET,15 min,17:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56.6,2.75?,?,?,1.8,,,,,
452,1,3455,MARLBOROUGH,17:10:00 ET,6 min,17:16:00 ET,24LG,6X,51,12/06/2024 06/30/2026,
452,2,3458,PETERBOROUGH,17:34:00 ET,9 min,17:43:00 ET,,,,,
452,3,30,MANCHESTER,18:30:00 ET,15 min,18:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,53.6,1.58?,?,?,1.08,,,,,
453,1,30,MANCHESTER,15:10:00 ET,15 min,15:25:00 ET,24LG,K167,205,12/06/2024 06/30/2026,
453,2,3458,PETERBOROUGH,16:50:00 ET,9 min,16:59:00 ET,,,,,
453,3,3444,DUBLIN,17:25:00 ET,9 min,17:34:00 ET,,,,,
453,4,3450,HARRISVILLE,17:45:00 ET,9 min,17:54:00 ET,,,,,
453,5,3455,MARLBOROUGH,18:10:00 ET,9 min,18:19:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56.6,3.15?,?,?,2.3,,,,,
454,1,3455,MARLBOROUGH,18:19:00 ET,6 min,18:25:00 ET,24LG,K167,205,12/06/2024 06/30/2026,
454,2,30,MANCHESTER,19:35:00 ET,15 min,19:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,51.9,1.52?,?,?,1.17,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
455,1,30,MANCHESTER,14:45:00 ET,15 min,15:00:00 ET,24LG,C1,62,02/01/2025 06/30/2026,
455,2,3444,DUBLIN,16:00:00 ET,15 min,16:15:00 ET,,,,,
455,3,3450,HARRISVILLE,16:30:00 ET,15 min,16:45:00 ET,,,,,
455,4,3455,MARLBOROUGH,17:00:00 ET,15 min,17:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,55,2.50?,?,?,1.5,,,,,
456,1,3455,MARLBOROUGH,17:15:00 ET,15 min,17:30:00 ET,24LG,C1,62,02/01/2025 06/30/2026,
456,2,30,MANCHESTER,18:45:00 ET,15 min,19:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,52,1.75?,?,?,1.25,,,,,
457,1,30,MANCHESTER,16:00:00 ET,15 min,16:15:00 ET,24VN,K67,251,07/01/2024 06/30/2026,
457,2,3458,PETERBOROUGH,17:30:00 ET,9 min,17:39:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,37.6,1.65?,?,?,1.25,,,,,
458,1,3458,PETERBOROUGH,17:39:00 ET,6 min,17:45:00 ET,24VN,K67,251,07/01/2024 06/30/2026,
458,2,30,MANCHESTER,19:00:00 ET,15 min,19:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,37.5,1.60?,?,?,1.25,,,,,
459,1,30,MANCHESTER,01:45:00 ET,15 min,02:00:00 ET,40FT,K7,303,12/06/2024 06/30/2026,
459,2,3431,KEENE,03:30:00 ET,15 min,03:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56.3,2.00?,?,?,1.5,,,,,
460,1,3431,KEENE,03:45:00 ET,6 min,03:51:00 ET,40FT,K7,303,12/06/2024 06/30/2026,
460,2,30,MANCHESTER,05:20:00 ET,15 min,05:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56.9,1.83?,?,?,1.48,,,,,
461,1,30,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,40FT,K7,303,12/06/2024 06/30/2026,
461,2,3431,KEENE,07:00:00 ET,15 min,07:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56.3,2.00?,?,?,1.5,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
462,1,3431,KEENE,07:15:00 ET,6 min,07:21:00 ET,40FT,K7,303,12/06/2024 06/30/2026,
462,2,30,MANCHESTER,08:51:00 ET,15 min,09:06:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56.9,1.85?,?,?,1.5,,,,,
463,1,30,MANCHESTER,09:45:00 ET,15 min,10:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
463,2,3458,PETERBOROUGH,11:00:00 ET,15 min,11:15:00 ET,,,,,
463,3,3431,KEENE,12:00:00 ET,15 min,12:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,58,2.50?,?,?,1.75,,,,,
464,1,3431,KEENE,12:16:00 ET,6 min,12:22:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
464,2,3458,PETERBOROUGH,13:00:00 ET,15 min,13:15:00 ET,,,,,
464,3,30,MANCHESTER,14:15:00 ET,15 min,14:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,58.7,2.23?,?,?,1.63,,,,,
465,1,30,MANCHESTER,11:55:00 ET,15 min,12:10:00 ET,40FT,QQ,363,12/06/2024 06/30/2026,
465,2,3431,KEENE,13:41:00 ET,15 min,13:56:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56.3,2.02?,?,?,1.52,,,,,
466,1,3431,KEENE,13:57:00 ET,15 min,14:12:00 ET,40FT,QQ,363,12/06/2024 06/30/2026,
466,2,30,MANCHESTER,15:45:00 ET,15 min,16:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56.9,2.05?,?,?,1.55,,,,,
467,1,30,MANCHESTER,16:05:00 ET,15 min,16:20:00 ET,40FT,K7,303,12/06/2024 06/30/2026,
467,2,3431,KEENE,17:50:00 ET,15 min,18:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56.3,2.00?,?,?,1.5,,,,,
468,1,3431,KEENE,18:06:00 ET,15 min,18:21:00 ET,40FT,K7,303,12/06/2024 06/30/2026,
468,2,30,MANCHESTER,19:50:00 ET,15 min,20:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56.9,1.98?,?,?,1.48,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
501,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,53FT,DAIL,24,12/01/2024 12/24/2024,
501,2,030PM,NASHUA,06:40:00 ET,15 min,06:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.4,1.17?,?,?,0.67,,,,,
502,1,30,MANCHESTER,06:55:00 ET,15 min,07:10:00 ET,53FT,DAIL,11,12/21/2024 12/24/2024,
502,2,030PM,NASHUA,07:55:00 ET,15 min,08:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.8,1.25?,?,?,0.75,,,,,
503,1,030PM,NASHUA,09:45:00 ET,15 min,10:00:00 ET,53FT,DAIL,24,12/01/2024 12/24/2024,
503,2,30,MANCHESTER,10:40:00 ET,15 min,10:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.8,1.17?,?,?,0.67,,,,,
504,1,30,MANCHESTER,11:10:00 ET,15 min,11:25:00 ET,53FT,DAIL,24,12/01/2024 12/24/2024,
504,2,030PM,NASHUA,12:25:00 ET,10 min,12:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.4,1.42?,?,?,1,,,,,
511,1,030PM,NASHUA,18:15:00 ET,30 min,18:45:00 ET,53FT,DAIL,16,12/09/2024 12/24/2024,
511,2,30,MANCHESTER,19:30:00 ET,15 min,19:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.8,1.50?,?,?,0.75,,,,,
512,1,30,MANCHESTER,19:45:00 ET,15 min,20:00:00 ET,53FT,DAIL,16,12/09/2024 12/24/2024,
512,2,030PM,NASHUA,20:45:00 ET,30 min,21:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.4,1.50?,?,?,0.75,,,,,
513,1,030PM,NASHUA,21:20:00 ET,30 min,21:50:00 ET,53FT,DAIL,16,12/09/2024 12/24/2024,
513,2,30,MANCHESTER,22:30:00 ET,15 min,22:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.8,1.42?,?,?,0.67,,,,,
514,1,30,MANCHESTER,22:46:00 ET,14 min,23:00:00 ET,53FT,DAIL,16,12/09/2024 12/24/2024,
514,2,030PM,NASHUA,23:40:00 ET,30 min,00:10:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.4,1.40?,?,?,0.67,,,,,
601,1,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,26LG,K7,303,02/22/2025 06/30/2026,
601,2,3032,AUBURN,06:00:00 ET,9 min,06:09:00 ET,,,,,
601,3,3824,DURHAM,06:54:00 ET,9 min,07:03:00 ET,,,,,
601,4,3856,NEWFIELDS,07:34:00 ET,9 min,07:43:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,47.2,2.22?,?,?,1.52,,,,,
602,1,3856,NEWFIELDS,07:44:00 ET,6 min,07:50:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
602,2,30,MANCHESTER,08:30:00 ET,15 min,08:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,35,1.02?,?,?,0.67,,,,,
603,1,30,MANCHESTER,10:45:00 ET,15 min,11:00:00 ET,24LG,K7,303,02/22/2025 06/30/2026,
603,2,3824,DURHAM,11:50:00 ET,10 min,12:00:00 ET,,,,,
603,3,3856,NEWFIELDS,12:15:00 ET,10 min,12:25:00 ET,,,,,
603,4,3854,NEW CASTLE,12:55:00 ET,10 min,13:05:00 ET,,,,,
603,5,3871,RYE BEACH,13:25:00 ET,10 min,13:35:00 ET,,,,,
603,6,3844,HAMPTON FALLS,13:50:00 ET,5 min,13:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,76.5,3.17?,?,?,2.17,,,,,
604,1,3844,HAMPTON FALLS,13:55:00 ET,5 min,14:00:00 ET,24LG,K7,303,02/22/2025 06/30/2026,
604,2,30,MANCHESTER,14:45:00 ET,15 min,15:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,39.9,1.08?,?,?,0.75,,,,,
605,1,30,MANCHESTER,15:25:00 ET,15 min,15:40:00 ET,24VN,K7,303,02/22/2025 06/30/2026,
605,2,038CS,COED SPORTSWEAR,16:20:00 ET,9 min,16:29:00 ET,,,,,
605,3,3856,NEWFIELDS,16:40:00 ET,9 min,16:49:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,33.1,1.40?,?,?,0.85,,,,,
606,1,3856,NEWFIELDS,16:50:00 ET,6 min,16:56:00 ET,24VN,K7,303,02/22/2025 06/30/2026,
606,2,3824,DURHAM,17:25:00 ET,9 min,17:34:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
606,3,30,MANCHESTER,18:30:00 ET,15 min,18:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,43.2,1.92?,?,?,1.42,,,,,
607,1,30,MANCHESTER,15:45:00 ET,15 min,16:00:00 ET,24VN,6X,51,12/06/2024 02/21/2025,
607,2,3824,DURHAM,16:56:00 ET,9 min,17:05:00 ET,,,,,
607,3,3857,NEWMARKET,17:26:00 ET,9 min,17:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40.9,1.83?,?,?,1.28,,,,,
608,1,3857,NEWMARKET,17:36:00 ET,6 min,17:42:00 ET,24VN,6X,51,12/06/2024 02/21/2025,
608,2,30,MANCHESTER,18:30:00 ET,15 min,18:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,34.1,1.15?,?,?,0.8,,,,,
609,1,30,MANCHESTER,03:00:00 ET,15 min,03:15:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
609,2,3833,EXETER,03:49:00 ET,9 min,03:58:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,30.8,0.97?,?,?,0.57,,,,,
610,1,3833,EXETER,03:58:00 ET,6 min,04:04:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
610,2,30,MANCHESTER,04:40:00 ET,15 min,04:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,31,0.95?,?,?,0.6,,,,,
611,1,30,MANCHESTER,01:45:00 ET,15 min,02:00:00 ET,53FT,K7,303,02/22/2025 06/30/2026,
611,2,3801,PORTSMOUTH,03:00:00 ET,15 min,03:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,1.50?,?,?,1,,,,,
612,1,3801,PORTSMOUTH,03:15:00 ET,15 min,03:30:00 ET,53FT,K7,303,02/22/2025 06/30/2026,
612,2,30,MANCHESTER,04:30:00 ET,15 min,04:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,1.50?,?,?,1,,,,,
613,1,30,MANCHESTER,04:45:00 ET,15 min,05:00:00 ET,53FT,K7,303,02/22/2025 06/30/2026,
613,2,3801,PORTSMOUTH,06:00:00 ET,60 min,07:00:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,2.25?,?,?,1,,,,,
614,1,3801,PORTSMOUTH,06:00:00 ET,60 min,07:00:00 ET,53FT,K7,303,02/22/2025 06/30/2026,
614,2,30,MANCHESTER,08:00:00 ET,15 min,08:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,2.25?,?,?,1,,,,,
615,1,30,MANCHESTER,05:50:00 ET,15 min,06:05:00 ET,26VN,QQ,363,02/22/2025 06/30/2026,
615,2,3848,KINGSTON,06:40:00 ET,10 min,06:50:00 ET,,,,,
615,3,3833,EXETER,07:15:00 ET,5 min,07:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,34.5,1.50?,?,?,1,,,,,
616,1,3833,EXETER,07:20:00 ET,10 min,07:30:00 ET,26VN,QQ,363,02/22/2025 06/30/2026,
616,2,30,MANCHESTER,08:20:00 ET,15 min,08:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,31.1,1.25?,?,?,0.83,,,,,
617,1,30,MANCHESTER,07:00:00 ET,15 min,07:15:00 ET,53FT,B7,62,03/08/2025 06/30/2026,
617,2,3801,PORTSMOUTH,08:15:00 ET,15 min,08:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,1.50?,?,?,1,,,,,
618,1,3801,PORTSMOUTH,08:00:00 ET,15 min,08:15:00 ET,53FT,B7,62,03/08/2025 06/30/2026,
618,2,30,MANCHESTER,09:15:00 ET,15 min,09:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,1.50?,?,?,1,,,,,
619,1,30,MANCHESTER,10:15:00 ET,15 min,10:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
619,2,3833,EXETER,11:10:00 ET,9 min,11:19:00 ET,,,,,
619,3,3801,PORTSMOUTH,11:46:00 ET,9 min,11:55:00 ET,,,,,
619,4,3840,GREENLAND,12:09:00 ET,6 min,12:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,45.9,2.00?,?,?,1.35,,,,,
620,1,3840,GREENLAND,12:16:00 ET,6 min,12:22:00 ET,24VN,K7,303,02/22/2025 06/30/2026,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
620,2,3833,EXETER,12:50:00 ET,10 min,13:00:00 ET,,,,,
620,3,30,MANCHESTER,13:45:00 ET,15 min,14:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,39.5,1.73?,?,?,1.21,,,,,
621,1,30,MANCHESTER,13:15:00 ET,15 min,13:30:00 ET,24VN,K67,251,12/06/2024 02/21/2025,
621,2,038PP,PASSPORT CENTER - PORTSMOUTH,14:45:00 ET,9 min,14:54:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,1.65?,?,?,1.25,,,,,
622,1,038PP,PASSPORT CENTER - PORTSMOUTH,14:54:00 ET,9 min,15:03:00 ET,24VN,K67,251,12/06/2024 02/21/2025,
622,2,30,MANCHESTER,16:20:00 ET,15 min,16:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,44.3,1.68?,?,?,1.28,,,,,
623,1,30,MANCHESTER,15:40:00 ET,15 min,15:55:00 ET,53FT,K7,303,03/15/2025 06/30/2026,
623,2,3801,PORTSMOUTH,16:55:00 ET,25 min,17:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,1.67?,?,?,1,,,,,
624,1,3801,PORTSMOUTH,17:20:00 ET,15 min,17:35:00 ET,53FT,K7,303,03/15/2025 06/30/2026,
624,2,30,MANCHESTER,18:35:00 ET,15 min,18:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,1.50?,?,?,1,,,,,
625,1,30,MANCHESTER,16:15:00 ET,15 min,16:30:00 ET,53FT,K7,303,03/15/2025 06/30/2026,
625,2,3801,PORTSMOUTH,17:40:00 ET,15 min,17:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,1.67?,?,?,1.17,,,,,
626,1,3801,PORTSMOUTH,17:55:00 ET,15 min,18:10:00 ET,53FT,K7,303,03/15/2025 06/30/2026,
626,2,30,MANCHESTER,19:10:00 ET,15 min,19:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42.2,1.50?,?,?,1,,,,,
627,1,30,MANCHESTER,16:30:00 ET,15 min,16:45:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
627,2,3840,GREENLAND,17:36:00 ET,9 min,17:45:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,38,1.25?,?,?,0.85,,,,,
628,1,3840,GREENLAND,17:46:00 ET,6 min,17:52:00 ET,24VN,K7,303,02/22/2025 06/30/2026,
628,2,3833,EXETER,18:15:00 ET,10 min,18:25:00 ET,,,,,
628,3,30,MANCHESTER,19:10:00 ET,15 min,19:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,39.5,1.65?,?,?,1.13,,,,,
631,1,30,MANCHESTER,03:00:00 ET,15 min,03:15:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
631,2,3824,DURHAM,04:05:00 ET,9 min,04:14:00 ET,,,,,
631,3,3867,ROCHESTER,04:37:00 ET,9 min,04:46:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,52.4,1.77?,?,?,1.22,,,,,
632,1,3867,ROCHESTER,04:46:00 ET,6 min,04:52:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
632,2,30,MANCHESTER,05:55:00 ET,15 min,06:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40.4,1.40?,?,?,1.05,,,,,
633,1,30,MANCHESTER,03:00:00 ET,15 min,03:15:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
633,2,3820,DOVER,04:15:00 ET,9 min,04:24:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40.4,1.40?,?,?,1,,,,,
634,1,3820,DOVER,04:24:00 ET,6 min,04:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
634,2,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40.3,1.35?,?,?,1,,,,,
635,1,30,MANCHESTER,05:00:00 ET,15 min,05:15:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
635,2,3867,ROCHESTER,06:20:00 ET,9 min,06:29:00 ET,,,,,
635,3,3820,DOVER,06:50:00 ET,9 min,06:59:00 ET,,,,,
635,4,3878,SOMERSWORTH,07:25:00 ET,9 min,07:34:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,58.5,2.57?,?,?,1.87,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
636,1,3878,SOMERSWORTH,07:35:00 ET,9 min,07:44:00 ET,24VN,9-608,60,12/06/2024 06/30/2026,
636,2,30,MANCHESTER,09:00:00 ET,15 min,09:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,45.2,1.67?,?,?,1.27,,,,,
637,1,30,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
637,2,3878,SOMERSWORTH,06:35:00 ET,9 min,06:44:00 ET,,,,,
637,3,3869,ROLLINSFORD,06:50:00 ET,9 min,06:59:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,49.8,1.73?,?,?,1.18,,,,,
638,1,3869,ROLLINSFORD,07:00:00 ET,9 min,07:09:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
638,2,30,MANCHESTER,08:33:00 ET,15 min,08:48:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,45.7,1.80?,?,?,1.4,,,,,
639,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
639,2,3884,STRAFFORD,07:00:00 ET,9 min,07:09:00 ET,,,,,
639,3,3867,ROCHESTER,07:35:00 ET,9 min,07:44:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,43,1.98?,?,?,1.43,,,,,
640,1,3867,ROCHESTER,07:45:00 ET,9 min,07:54:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
640,2,30,MANCHESTER,09:00:00 ET,15 min,09:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40.4,1.50?,?,?,1.1,,,,,
641,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
641,2,3820,DOVER,07:00:00 ET,9 min,07:09:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,40.4,1.40?,?,?,1,,,,,
642,1,3820,DOVER,07:09:00 ET,9 min,07:18:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
642,2,3825,BARRINGTON,07:35:00 ET,9 min,07:44:00 ET,,,,,
642,3,30,MANCHESTER,08:50:00 ET,15 min,09:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,45.3,1.93?,?,?,1.38,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
643,1,30,MANCHESTER,12:15:00 ET,15 min,12:30:00 ET,24VN,K7,303,08/31/2024 06/30/2026,
643,2,3820,DOVER,13:30:00 ET,6 min,13:36:00 ET,,,,,
643,3,3878,SOMERSWORTH,13:48:00 ET,10 min,13:58:00 ET,,,,,
643,4,3869,ROLLINSFORD,14:08:00 ET,7 min,14:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,50.7,2.00?,?,?,1.37,,,,,
644,1,3869,ROLLINSFORD,13:40:00 ET,9 min,13:49:00 ET,24VN,K7,303,08/31/2024 06/30/2026,
644,2,30,MANCHESTER,15:10:00 ET,15 min,15:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,45.8,1.75?,?,?,1.35,,,,,
645,1,30,MANCHESTER,11:25:00 ET,15 min,11:40:00 ET,24VN,CC6,56,12/06/2024 06/30/2026,
645,2,3867,ROCHESTER,12:54:00 ET,12 min,13:06:00 ET,,,,,
645,3,3820,DOVER,13:33:00 ET,6 min,13:39:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
